Curriculum,"Music, Music Education Concentration, Choral Option",,,,,,,,,
Degree Plan,"Music, Music Education Concentration, Choral Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MU 117","","",,,,3,"","",1
2,"MU 127","","",,,,1,"","",1
3,"MU 131","","",,,,3,"","",1
4,"MU 150","","",,,,1,"","",1
5,"MU 172A","","",,,,1,"","",1
6,"MU 286","","",,,,3,"","",1
7,"ENSEMBLE 1","","",,,,1,"","",1
8,"CO 150","","",,,,3,"","",2
9,"MU 118","","","1",,,3,"","",2
10,"MU 128","","","2",,,1,"","",2
11,"MU 151B","","","4",,,1,"","",2
12,"MU 172B","","",,,,1,"","",2
13,"ENSEMBLE 2","","",,,,1,"","",2
14,"AUCC 3B","","",,,,3,"","",2
15,"MATHEMATICS","","",,,,3,"","",2
16,"EDUC 275","","",,,,3,"","",3
17,"MU 217","","","9",,,3,"","",3
18,"MU 227","","","10",,,1,"","",3
19,"MU 252C","","",,,,1,"","",3
20,"MU 272Q","","",,,,1,"","",3
21,"ENSEMBLE 3","","",,,,1,"","",3
22,"ADVANCED WRITING","","","8",,,3,"","",3
23,"AUCC 3D","","",,,,3,"","",3
24,"EDUC 340","","",,,,3,"","",4
25,"MU 152","","",,,,1,"","",4
26,"MU 218","","","17",,,3,"","",4
27,"MU 228","","","18",,,1,"","",4
28,"MU 252A","","",,,,2,"","",4
29,"MU 272Q","","",,,,1,"","",4
30,"ENSEMBLE 4","","",,,,1,"","",4
31,"AUCC 3A","","",,,,4,"","",4
32,"EDUC 331","","","16;24",,,2,"","",5
33,"EDUC 474","","",,,,2,"","",5
34,"MU 254","","","1",,,2,"","",5
35,"MU 317","","","26",,,2,"","",5
36,"MU 334","","","9;3",,,3,"","",5
37,"MU 472Q","","","20",,,2,"","",5
38,"ENSEMBLE 5","","",,,,1,"","",5
39,"AUCC 3A","","",,,,4,"","",5
40,"EDUC 350","","","16;24",,,3,"","",6
41,"EDUC 386","","","16;24",,,1,"","",6
42,"EDUC 475","","","33",,,2,"","",6
43,"MU 318","","","26",,,2,"","",6
44,"MU 335","","","9;3",,,3,"","",6
45,"MU 355","","","34",,,2,"","",6
46,"MU 466","","",,,,2,"","",6
47,"MU 472Q","","","20",,,2,"","",6
48,"EDUC 450","","","32;40;41",,,4,"","",7
49,"EDUC 476","","","17",,,2,"","",7
50,"EDUC 486E","","",,,,1,"","",7
51,"MU 425","","",,,,2,"","",7
52,"MU 467","","",,,,2,"","",7
53,"MU 471","","",,,,1,"","",7
54,"MU 472Q","","","20",,,1,"","",7
55,"ENSEMBLE 6","","",,,,1,"","",7
56,"AUCC 3E","","",,,,3,"","",7
57,"MU 485A","","","42;48",,,6,"","",8
58,"MU 485B","","","42;48",,,6,"","",8
59,"EDUC 493A","","","42;48",,,1,"","",8