Curriculum,Architectural Engineering,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0401,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I w/ Applications,MATH,125,,,,3,,,1
2,Gen Chemistry I,CHEM,151,,,,4,,,1
3,First-year Comp,ENGL,101,,,,3,,,1
4,Intro to Engineering,ENGR,102,,1,,3,,,1
5,Tier I General Ed,,,,,,3,,,1
6,Calculus II,MATH,129,1,,,3,,,2
7,First-year Comp,ENGL,102,3,,,3,,,2
8,Intro Mechanics,PHYS,141,1,,,4,,,2
9,Tier I General Ed,,,,,,3,,,2
10,Tier I General Ed,,,,,,3,,,2
11,Intro to Arch Eng,ARCE,295,1,,,1,,,3
12,Statics,CE,214,9;6,,,3,,,3
13,Vector Calculus,MATH ,223,6,,,4,,,3
14,Electricity & Magnetism,PHYS,241,6;9,,,4,,,3
15,History of Applied Building Tech,ARC,220,4,,,3,,,3
16,Mechanics of Solids,CE,215,12,,,3,,,4
17,Thermodynamics,AME,230,8,,,3,,,4
18,Intro. to ODEs,MATH,254,13,,,3,,,4
19,Build Info Modeling,ARCE,210,4,,,3,,,4
20,Building Tech III,ARCE,223,8,,,1,,,4
21,Tier I General Ed,,,,,,3,,,4
22,Mechanics of Fluids,CE,218,12,,,3,,,5
23,Eng Communications,CE,301,,,,3,,,5
24,Prob & Stats for CE,CE,310,6,,,3,,,5
25,Elem Structural Analysis,CE,333,16,,,3,,,5
26,Construction Eng Manag,CE,381,,,,3,,,5
27,Circuits,ENGR,211M,18;14,,,1,,,5
28,Intro to Mech Sys in Bldg Design,ARCE,340,19;11,,,3,,,6
29,Struct Design in Concrete,CE,335,25,,,3,,,6
30,Power Sys Eng,ARCE,320,27,,,3,,,6
31,Architecture Lighting,ARCE,330,27,,,3,,,6
32,Materials Testing Lab,CE,389,16,,,1,,,6
33,Tier II General Ed.,,,,,,3,,,6
34,Capstone Design Studio,ARCE,400A,,,,6,,,7
35,Issues in Professional Practice,ARCE,408A,,,,2,,,7
36,Struct design in Steel,CE,334,25,,,3,,,7
37,Eng Econ,ENGR,211P,6,,,3,,,7
38,Dynamics,ENGR,211I,12;18,,,3,,,7
39,Math/Science Elective,,,,,,3,,,7
40,Senior Design,ARCE,400B,,34,,3,,,8
41,Behavioral and Design of Struct Sys,CE,438,,,,3,,,8
42,Tech Elective,,,,,,3,,,8
43,Tech Elective,,,,,,3,,,8
44,Tier II General Ed.,,,,,,3,,,8