Curriculum,"Ecosystem Science and Sustainability",,,,,,,,,
Degree Plan,"Ecosystem Science and Sustainability",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"ESS 120","","",,,,1,"","",1
3,"ESS 129","","",,"2",,1,"","",1
4,"BZ 110","","",,,,3,"","",1
5,"BZ 111","","",,"4",,1,"","",1
6,"NR 120A","","",,,,3,"","",1
7,"AUCC 3B","","",,,,3,"","",1
8,"ESS 130","","","3",,,1,"","",2
9,"CHEM 107","","",,,,4,"","",2
10,"CHEM 108","","",,"9",,1,"","",2
11,"MATH 155","","",,,,4,"","",2
12,"ANTH 100","","",,,,3,"","",2
13,"ESS 210","","",,,,3,"","",3
14,"BZ 120","","",,,,4,"","",3
15,"AUCC 3E","","",,,,3,"","",3
16,"ELECTIVE 1","","",,,,4,"","",3
17,"LIFE 320","","","4;11",,,3,"","",4
18,"PH 121","","","11",,,5,"","",4
19,"STAT 301","","","11",,,3,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"ESS 311","","","17;18",,,3,"","",5
22,"GR 304","","",,,,3,"","",5
23,"NR 322","","",,,,4,"","",5
24,"AUCC 3D","","",,,,3,"","",5
25,"ELECTIVE 2","","",,,,3,"","",5
26,"ESS 312","","","21",,,3,"","",6
27,"ESS 320","","","17",,,1,"","",6
28,"ESS 330","","","19;17;11",,,3,"","",6
29,"CO 301B","","","1",,,3,"","",6
30,"ELECTIVE 3","","",,,,3,"","",6
31,"ELECTIVE 4","","",,,,2,"","",6
32,"PD & ENGAGEMENT REQ","","",,,,5,"","",7
33,"GR 323","","",,,,3,"","",8
34,"ESS 400","","","26",,,3,"","",8
35,"ESS ELECTIVE 1","","",,,,3,"","",8
36,"ESS ELECTIVE 2","","",,,,3,"","",8
37,"ELECTIVE 5","","",,,,3,"","",8
38,"ES 440","","","28",,,4,"","",9
39,"NR 400","","",,,,3,"","",9
40,"ESS ELECTIVE 3","","",,,,3,"","",9
41,"ELECTIVE 6","","",,,,3,"","",9