Curriculum,Computer Science,,,,,,,,
Institution,University of Connecticut,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Lab Science,,,,,,4,,
2,Calculus I,MATH,1131Q,,,,4,,
3,Intro Computing for Engineers,CSE,1010,,,,3,,
4,Orientation to Engineering,ENGR,1000,,,,1,,
5,Area 2 (Social Sciences),,,,,,3,,
6,Lab Science,,,,,,4,,
7,Calculus II,MATH,1132Q,2,,,4,,
8,Intro to Principles of Programming,CSE,1729,3,,,3,,
9,Seminar in Writing,ENGL,1010,,,,4,,
10,Lab Science,,,,,,4,,
11,Intro to Discrete Systems,CSE,2500,8,,,3,,
12,Data Structures & Object-Oriented Design,CSE,2050,8,,,3,,
13,Multivariable Calculus ,MATH,2110Q,7,,,4,,
14,Area 1 (Arts and Humanities),,,,,,3,,
15,Computer Architecture,CSE,2304,11;12,,,3,,
16,Algorithms and Complexity,CSE,3500,11;12,,,3,,
17,Systems Programming ,CSE,3100,11;12,,,3,,
18,Area 2 (Social Science) ,,,,,,3,,
19,(Area 1) Ð Phil. and Soc Ethics,PHIL,1104,,,,3,,
20,Concentration course 1,,,,,,3,,
21,Cybersecurity Lab,CSE,3140,11,16,,2,,
22,Stat. Methods ,STAT,3025Q,7,,,3,,
23,Linear Algebra,MATH,2210Q,7,,,3,,
24,Elective,,,,,,3,,
25,Concentration course 2,,,,,,3,,
26,Area 4 Course (Diversity and Multiculturalism),,,,,,3,,
27,Contemporary Issues in CSE,CSE,3000,17;15,,,1,,
28,CSE Elective,,,,,,3,,
29,Elective,,,,,,3,,
30,Elective,,,,,,3,,
31,CSE Design Project I,CSE,4939,9,,,3,,
32,Concentration course 3 ,,,,,,3,,
33,Area 4 (Diversity and Multiculturalism),,,,,,3,,
34,Elective,,,,,,3,,
35,Elective,,,,,,3,,
36,CSE Design Project II,CSE,4940,31,,,3,,
37,Concentration course 4,,,,,,3,,
38,Elective,,,,,,3,,
39,Elective,,,,,,4,,