Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-science-science.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"NRSM 101","","",,,,3,"","",1
2,"NRSM 102","","",,,,1,"","",1
3,"BIOB 170IN","","",,,,4,"","",1
4,"CHMY 141","","",,,,4,"","",1
5,"AGED 140US or COMX 111US","","",,,,3,"","",1
6,"ANSC 100","","",,,,3,"","",2
7,"BIOB 160","","","4",,,4,"","",2
8,"CHMY 143","","","4",,,4,"","",2
9,"CORE 2.0","","",,,,3,"","",2
10,"ANSC 202","","","6",,,3,"","",3
11,"NRSM 240","","","1",,,3,"","",3
12,"ECNS 101IS","","",,,,3,"","",3
13,"M 161","","",,,,4,"","",3
14,"BIOB 318 or STAT 216Q","","",,,,3,"","",3
15,"ANSC 222","","","6",,,3,"","",4
16,"ANSC 265","","","7",,,3,"","",4
17,"ANSC 266","","","7","16",,1,"","",4
18,"CHMY 211","","","4",,,5,"","",4
19,"Elective Comm","","",,,,3,"","",4
20,"BIOB 105CS","","",,,,3,"","",4
21,"ANSC 320","","","16;17;6;18",,,3,"","",5
22,"ANSC 321","","","16;17;6;18",,,4,"","",5
23,"BCH 380","","","7;18",,,5,"","",5
24,"Elective Restricted","","","7;16;17;15;6",,,3,"","",5
25,"ANSC 322","","","7;6",,,3,"","",6
26,"CORE 2.0","","",,,,3,"","",6
27,"Elective Restricted","","","7;16;17;15;6;22",,,9,"","",6
28,"Core or Elec","","",,,,16,"","",7
29,"Elective LM","","","7;4;8;21;6;22",,,3,"","",8
30,"ANSC 498 or ANSC 490R","","","21;22",,,3,"","",8